REF_AREA,Origin,Destination,TIME_PERIOD,Percentage_of_students
BEL,Belgium,Dominica,2022,0.003587637
BEL,Belgium,World,2022,100
BEL,Belgium,Guinea-Bissau,2022,0.001793819
BEL,Belgium,Namibia,2022,0.008969093
BEL,Belgium,Albania,2022,0.315712056
BEL,Belgium,Timor-Leste,2022,0
BEL,Belgium,Cabo Verde,2022,0.019732004
BEL,Belgium,Serbia,2022,0.129154932
BEL,Belgium,Rwanda,2022,0.387464796
BEL,Belgium,Jordan,2022,0.053814555
BEL,Belgium,Bhutan,2022,0.003587637
BEL,Belgium,Uruguay,2022,0.017938185
BEL,Belgium,United States,2022,0.948929987
AUT,Austria,Tanzania,2022,0.028170154
AUT,Austria,Finland,2022,0.173129073
BEL,Belgium,Korea,2022,0.008969093
BEL,Belgium,Iran,2022,0.63501175
BEL,Belgium,Saudi Arabia,2022,0.098660018
BEL,Belgium,Malta,2022,0.019732004
BEL,Belgium,Tajikistan,2022,0.005381456
BEL,Belgium,Indonesia,2022,0.22781495
BEL,Belgium,Northern America,2022,1.282580229
BEL,Belgium,Lesotho,2022,0
BEL,Belgium,Mauritius,2022,0.069958922
BEL,Belgium,Austria,2022,0.127361114
BEL,Belgium,Central African Republic,2022,0.021525822
BEL,Belgium,Lao People’s Democratic Republic,2022,0.001793819
BEL,Belgium,Somalia,2022,0.021525822
BEL,Belgium,Egypt,2022,0.270866594
BEL,Belgium,Cyprus,2022,0.062783648
BEL,Belgium,Luxembourg,2022,3.621719554
BEL,Belgium,Marshall Islands,2022,0
CAN,Canada,United Arab Emirates,2022,0.123798751
CAN,Canada,Azerbaijan,2022,0.057000864
CAN,Canada,Democratic Republic of the Congo,2022,0.496085644
CAN,Canada,Africa,2022,10.85510202
BEL,Belgium,Curaçao,2022,0.01255673
BEL,Belgium,Mexico,2022,0.295980053
BEL,Belgium,New Zealand,2022,0.025113459
BEL,Belgium,Tonga,2022,0
BEL,Belgium,Africa,2022,17.10944087
BEL,Belgium,North Macedonia,2022,0.025113459
BEL,Belgium,Congo,2022,0.211670583
BEL,Belgium,Mozambique,2022,0.026907278
BEL,Belgium,Italy,2022,2.446768436
BEL,Belgium,Guyana,2022,0.007175274
BEL,Belgium,Liberia,2022,0.005381456
BEL,Belgium,Africa unspecified,2022,0.003587637
BEL,Belgium,Latin America and the Caribbean unspecified,2022,0
BEL,Belgium,Hong Kong,2022,0.060989829
BEL,Belgium,Maldives,2022,0
BEL,Belgium,Latin America and the Caribbean,2022,3.123038011
BEL,Belgium,South Africa,2022,0.224227313
BEL,Belgium,Sweden,2022,0.100453836
BEL,Belgium,Nepal,2022,0.100453836
BEL,Belgium,Czechia,2022,0.078928014
BEL,Belgium,Syrian Arab Republic,2022,0.482537177
BEL,Belgium,Niger,2022,0.077134196
BEL,Belgium,Peru,2022,0.213464402
BEL,Belgium,Saint Lucia,2022,0
BEL,Belgium,Philippines,2022,0.213464402
BEL,Belgium,Costa Rica,2022,0.053814555
BEL,Belgium,Russia,2022,0.559671372
BEL,Belgium,Nicaragua,2022,0.021525822
